v,Chicago,Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
v,Rambutan,Mx4rvVjPdZwpEbGdrcN5Y29ycA,Tree-ThePlant
v,Stuart Kauffman,Mx4rvViaI5wpEbGdrcN5Y29ycA,Researcher
v,Vladimir Komarov,Mx4rf7HSZsSXQdiPL9pprDpTfQ,TestPilot
v,Piquet,Mx4rv0AdNJwpEbGdrcN5Y29ycA,TrickTakingCardGame
v,Southwood National Park,Mx4rwQwoLJwpEbGdrcN5Y29ycA,NationalPark
v,Harvey Washington Wiley,Mx4rvVjKrpwpEbGdrcN5Y29ycA,Chemist
v,"Warren, Arkansas",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
v,"Yuba City, California",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
v,"Beardstown, Illinois",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
v,"Alden, Kansas",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
u,"Arbutus, Maryland",Mx4rvVi4_pwpEbGdrcN5Y29ycA,Neighborhood
v,"Freeport, Michigan",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,"Tobacco Township, Michigan",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
v,"Rifton, New York",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,Älvkarleby Municipality,Mx4r06ySZMcYEdmAAAACs6hRjg,Municipality
v,"Allegheny Township, Butler County, Pennsylvania",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
v,"Forks Township, Sullivan County, Pennsylvania",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
v,Shyam Selvadurai,Mx4rvVi18JwpEbGdrcN5Y29ycA,Novelist
v,Raoul Cédras,Mx4rwQr5eJwpEbGdrcN5Y29ycA,Leader
v,"Yōkaichiba, Chiba",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
v,Slax,Mx4rwUCtxpwpEbGdrcN5Y29ycA,LinuxOS
u,"Green Level, Wake County, North Carolina",Mx4rvVi4_pwpEbGdrcN5Y29ycA,Neighborhood
v,Asclepias,Mx4rvVjG4ZwpEbGdrcN5Y29ycA,Plant
