Lombardy,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Cryptomonad,Mx4rvVim7ZwpEbGdrcN5Y29ycA,BiologicalLivingObject
"Avilla, Missouri",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Beclabito, New Mexico",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Ulster, New York",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Gate City, Virginia",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Saratoga, Wisconsin",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Coramae Richey Mann,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Kent County, New Brunswick",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Ian Watt,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Gustave Courbet,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mister Peepers,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork,Mx4rvVjmoJwpEbGdrcN5Y29ycA,Group
William McGuigan,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
William Paterson University,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Scott McCloud,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Robert M. La Follette, Jr.",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Robert Carlyle,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Walpole Island Indian Reserve No. 46,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Leon Askin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Wayne Goodwin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Filey,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Jeremy Lloyd,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
The Delgados,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Geoff Murphy,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Steinunn Sigurðardóttir,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Guimarei,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
South Darfur,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Ati, Chad",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
USS Experiment (1832),Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
William Russell (actor),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Gen Re,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Thilina Kandamby,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Aer Rianta International,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
The Statler Brothers,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
"Combe, Oxfordshire",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Jonathan Routh,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mamberamo River,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Ernst Loof,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Porky's Badtime Story,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic,Mx4rvkNufpwpEbGdrcN5Y29ycA,InformationBearingThing
Bruce Trigger,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Jules Doinel,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Sugarloaf (ski resort),Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Jens Jensen (landscape architect),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
McNally Robinson,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Suburban Station,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent
Pars tuberalis,Mx4rwQBXZpwpEbGdrcN5Y29ycA,OrganismPart
John Barrow (U.S. politician),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Jawaharlal Nehru University,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
McCormick Theological Seminary,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Barbara Barrie,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Petrea Burchard,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
