Moog (surname),Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Clupeidae,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Hubei,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Ruma, Illinois",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Girard, Kansas",Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
"Rock Hill, Missouri",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Dexter, New Mexico",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Fruitdale, South Dakota",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mudbrick,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rvVkFYpwpEbGdrcN5Y29ycA,Product
Clare Boothe Luce,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
ORWO,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Rio Grande Games,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Lena Horne,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Leopold Gmelin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Sodium nitrite,Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
Mercury(II) chloride,Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
Draft (politics),Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Henslow's Sparrow,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Bronisław Malinowski (athlete),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mac McDonald,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Gonaïves,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Woodford tube station,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent
Nimrod (ship),Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
Asian Koel,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
"Asashina, Nagano",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
A Good School,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Lōʻihi Seamount,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Siobhan Creaton,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
I Spit on Your Grave,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Bigelow Aerospace,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Omar Ali Saifuddien III,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
A+ (programming language),Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
La Crosse encephalitis,Mx4rvViADZwpEbGdrcN5Y29ycA,Event
Eric Anundsson,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Santiago Casares Quiroga,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
BMW N42,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
Regimental quartermaster sergeant,Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
Argyroxiphium,Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
Mud-terrain tyre,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice
Punjab Janata Morcha,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Mobile game,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork,Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
"Hillcrest, Ohio",Mx4rvVinb5wpEbGdrcN5Y29ycA,IntelligentAgent,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic,Mx4rvVjmoJwpEbGdrcN5Y29ycA,Group,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Tackey & Tsubasa,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Jim Kleinsasser,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
INAP,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Romeo and Juliet (Tchaikovsky),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
G. V. Skrotskii,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Charlotte Froese Fischer,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Oahe Dam,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent
"Katra, Jammu and Kashmir",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Assegai,Mx4rvVj8V5wpEbGdrcN5Y29ycA,Weapon
Conspiracy fiction,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Ballarat Football League,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Medicine (band),Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Canned hunt,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Theon of Smyrna,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Halling railway station,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent
A. H. Albut,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
